id,POA_CODE_2016,postcode,region,SSC_CODE_2016,SSC_NAME_2016,state,Dwellings,Population,AREA_SQKM,MB_COUNT,suburb,Town Postcode combo,POA crosses state border,long,lat,regionName,brandName,serviceName
location:4732:cornish-creek,4732,4732,westqld,30731,Cornish Creek,Queensland,20,16,1892.4087,1,Cornish Creek,Cornish Creek 4732,,144.7780014,-22.44995392,Western Queensland ,ABC Western Queensland ,local_westqld
location:3683:cornishtown,3683,3683,goulburnmurray,20639,Cornishtown,Victoria,46,105,45.3098,5,Cornishtown,Cornishtown 3683,,146.5707183,-36.10280509,Goulburn-Murray ,ABC Goulburn-Murray ,local_goulburnmurray
location:4130:cornubia,4130,4130,brisbane,30732,Cornubia,Queensland,2553,7314,15.1248,90,Cornubia,Cornubia 4130,,153.2112435,-27.66046884,Brisbane,ABC Radio Brisbane,local_brisbane
location:4455:cornwall,4455,4455,southqld,30733,Cornwall (Qld),Queensland,5,16,278.8745,1,Cornwall,Cornwall 4455,,148.44181,-26.08169601,Southern Queensland,ABC Southern Queensland,local_southqld
location:7215:cornwall,7215,7215,northtas,60128,Cornwall (Tas.),Tasmania,36,65,5.4174,1,Cornwall,Cornwall 7215,,148.1412247,-41.55689415,Northern Tasmania,ABC Northern Tasmania,local_northtas
location:2756:cornwallis,2756,2756,sydney,11078,Cornwallis,New South Wales,18,53,7.5193,1,Cornwallis,Cornwallis 2756,,150.7998548,-33.58715502,Sydney,ABC Radio Sydney,local_sydney
location:5575:corny-point,5575,5575,northandwest,40309,Corny Point,South Australia,173,107,126.237,6,Corny Point,Corny Point 5575,,137.0490769,-34.95669514,North and West SA ,ABC North and West SA ,local_northandwest
location:2700:corobimilla,2700,2700,riverina,11079,Corobimilla,New South Wales,34,75,190.0485,4,Corobimilla,Corobimilla 2700,,146.4100881,-34.86225713,Riverina,ABC Riverina,local_riverina
location:5157:coromandel-east,5157,5157,adelaide,40310,Coromandel East,South Australia,129,343,8.1336,2,Coromandel East,Coromandel East 5157,,138.6464381,-35.04761643,Adelaide,ABC Radio Adelaide,local_adelaide
location:5051:coromandel-valley,5051,5051,adelaide,40311,Coromandel Valley,South Australia,1604,4198,4.3243,67,Coromandel Valley,Coromandel Valley 5051,,138.6236239,-35.0450031,Adelaide,ABC Radio Adelaide,local_adelaide
location:3984:coronet-bay,3984,3984,gippsland,20640,Coronet Bay,Victoria,833,793,4.0998,24,Coronet Bay,Coronet Bay 3984,,145.4449425,-38.43330931,Gippsland,ABC Gippsland,local_gippsland
location:3559:corop,3559,3559,centralvic,20641,Corop,Victoria,78,129,130.6764,10,Corop,Corop 3559,,144.7802626,-36.46137824,Central Victoria,ABC Central Victoria,local_centralvic
location:3254:cororooke,3254,3254,southwestvic,20642,Cororooke,Victoria,130,310,17.6413,2,Cororooke,Cororooke 3254,,143.5274854,-38.29649842,South West Victoria ,ABC South West Victoria ,local_southwestvic
location:2646:corowa,2646,2646,riverina,11080,Corowa,New South Wales,2757,5498,77.2039,116,Corowa,Corowa 2646,,146.3583258,-35.99399459,Riverina,ABC Riverina,local_riverina
location:2646:corowa,2646,2646,riverina,11080,Corowa,New South Wales,2757,5498,77.2039,116,Corowa,Corowa 2646,,146.3583258,-35.99399459,Goulburn-Murray,ABC Goulburn-Murray,local_goulburnmurray
location:2325:corrabare,2325,2325,newcastle,11081,Corrabare,New South Wales,9,15,72.5242,3,Corrabare,Corrabare 2325,,151.2188349,-32.95035855,Newcastle,ABC Newcastle,local_newcastle
location:6375:corrigin,6375,6375,greatsouthern,50339,Corrigin,Western Australia,413,851,393.6766,32,Corrigin,Corrigin 6375,,117.8897964,-32.3356679,Great Southern,ABC Great Southern,local_greatsouthern
location:2518:corrimal,2518,2518,illawarra,11082,Corrimal,New South Wales,2891,6552,5.0408,101,Corrimal,Corrimal 2518,,150.8923399,-34.36805676,Illawarra,ABC Illawarra,local_illawarra
location:3888:corringle,3888,3888,gippsland,20643,Corringle,Victoria,12,15,40.7722,9,Corringle,Corringle 3888,,148.4484585,-37.7879699,Gippsland,ABC Gippsland,local_gippsland
location:2711:corrong,2711,2711,riverina,11083,Corrong,New South Wales,5,3,978.7859,3,Corrong,Corrong 2711,,144.4594956,-34.03052344,Riverina,ABC Riverina,local_riverina
location:2633:corrowong,2633,2633,southeastnsw,11084,Corrowong,New South Wales,6,13,362.347,1,Corrowong,Corrowong 2633,,148.7696869,-36.90254444,South East NSW ,ABC South East NSW ,local_southeastnsw
location:3707:corryong,3707,3707,goulburnmurray,20644,Corryong,Victoria,693,1334,69.1635,30,Corryong,Corryong 3707,,147.9016545,-36.18316796,Goulburn-Murray ,ABC Goulburn-Murray ,local_goulburnmurray
